"filename", "language", "JSON with Comments", "HTML", "XML", "JavaScript", "JSON", "TypeScript", "TypeScript JSX", "CSS", "comment", "blank", "total"
"e:\Workspace\Edu_Learn_Nest\app\components\students_components\types.ts", "TypeScript", 0, 0, 0, 0, 0, 9, 0, 0, 0, 1, 10
"e:\Workspace\Edu_Learn_Nest\app\components\ui_components\CustomCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 23, 0, 0, 4, 27
"e:\Workspace\Edu_Learn_Nest\app\components\user_components\ChatHeader.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 23, 0, 0, 4, 27
"e:\Workspace\Edu_Learn_Nest\app\components\user_components\ClassListItem.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 46, 0, 0, 5, 51
"e:\Workspace\Edu_Learn_Nest\app\components\user_components\ConversationItem.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 47, 0, 0, 4, 51
"e:\Workspace\Edu_Learn_Nest\app\components\user_components\ExerciseListItem.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 38, 0, 0, 4, 42
"e:\Workspace\Edu_Learn_Nest\app\components\user_components\GradeStatCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 40, 0, 0, 5, 45
"e:\Workspace\Edu_Learn_Nest\app\components\user_components\MessageBubble.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 27, 0, 0, 3, 30
"e:\Workspace\Edu_Learn_Nest\app\components\user_components\ProgressCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 27, 0, 0, 5, 32
"e:\Workspace\Edu_Learn_Nest\app\components\user_components\QuickActionCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 15, 0, 0, 4, 19
"e:\Workspace\Edu_Learn_Nest\app\components\user_components\StatCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 15, 0, 0, 4, 19
"e:\Workspace\Edu_Learn_Nest\app\components\user_components\UserHeader.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 48, 0, 0, 6, 54
"e:\Workspace\Edu_Learn_Nest\app\components\user_exercises_components\UserExercisesHeader.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 42, 0, 1, 6, 49
"e:\Workspace\Edu_Learn_Nest\app\components\user_exercises_components\UserExercisesTable.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 98, 0, 0, 6, 104
"e:\Workspace\Edu_Learn_Nest\app\components\user_exercises_components\types.ts", "TypeScript", 0, 0, 0, 0, 0, 9, 0, 0, 0, 1, 10
"e:\Workspace\Edu_Learn_Nest\app\components\user_grades_components\UserGradesHeader.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 60, 0, 1, 6, 67
"e:\Workspace\Edu_Learn_Nest\app\contexts\SidebarColorContext.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 30, 0, 0, 10, 40
"e:\Workspace\Edu_Learn_Nest\app\globals.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 140, 9, 27, 176
"e:\Workspace\Edu_Learn_Nest\app\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 34, 0, 0, 5, 39
