"filename", "language", "HTML", "TypeScript", "JSON", "TypeScript JSX", "CSS", "comment", "blank", "total"
"e:\Workspace\Edu_Learn_Next\app\user\classes\[id]\page.tsx", "TypeScript JSX", 0, 0, 0, 333, 0, 15, 27, 375
"e:\Workspace\Edu_Learn_Next\app\user\classes\[id]\schedule\page.tsx", "TypeScript JSX", 0, 0, 0, 242, 0, 12, 24, 278
"e:\Workspace\Edu_Learn_Next\app\user\classes\page.tsx", "TypeScript JSX", 0, 0, 0, 114, 0, 5, 11, 130
"e:\Workspace\Edu_Learn_Next\app\user\community\page.tsx", "TypeScript JSX", 0, 0, 0, -342, 0, -7, -30, -379
"e:\Workspace\Edu_Learn_Next\app\user\documents\page.tsx", "TypeScript JSX", 0, 0, 0, -158, 0, -6, -15, -179
"e:\Workspace\Edu_Learn_Next\app\user\exercises\[id]\page.tsx", "TypeScript JSX", 0, 0, 0, -291, 0, 0, -28, -319
"e:\Workspace\Edu_Learn_Next\app\user\exercises\page.tsx", "TypeScript JSX", 0, 0, 0, -45, 0, -2, -11, -58
"e:\Workspace\Edu_Learn_Next\app\user\grades\page.tsx", "TypeScript JSX", 0, 0, 0, -340, 0, 0, -12, -352
"e:\Workspace\Edu_Learn_Next\app\user\layout.tsx", "TypeScript JSX", 0, 0, 0, -3, 0, 2, 0, -1
"e:\Workspace\Edu_Learn_Next\app\user\page.tsx", "TypeScript JSX", 0, 0, 0, -93, 0, 0, -1, -94
"e:\Workspace\Edu_Learn_Next\interface\news.ts", "TypeScript", 0, -7, 0, 0, 0, 0, -2, -9
"e:\Workspace\Edu_Learn_Next\lib\api\backup.ts", "TypeScript", 0, -109, 0, 0, 0, -4, -17, -130
"e:\Workspace\Edu_Learn_Next\lib\api\classes.ts", "TypeScript", 0, 101, 0, 0, 0, 7, 20, 128
"e:\Workspace\Edu_Learn_Next\lib\api\documents.ts", "TypeScript", 0, 51, 0, 0, 0, 0, 9, 60
"e:\Workspace\Edu_Learn_Next\lib\api\lessons.ts", "TypeScript", 0, 79, 0, 0, 0, 4, 12, 95
"e:\Workspace\Edu_Learn_Next\lib\api\notifications.ts", "TypeScript", 0, 159, 0, 0, 0, 1, 27, 187
"e:\Workspace\Edu_Learn_Next\lib\api\users.ts", "TypeScript", 0, 57, 0, 0, 0, 0, 8, 65
"e:\Workspace\Edu_Learn_Next\lib\utils\cookies.ts", "TypeScript", 0, 8, 0, 0, 0, 2, 0, 10
"e:\Workspace\Edu_Learn_Next\next.config.ts", "TypeScript", 0, 20, 0, 0, 0, 0, 0, 20
"e:\Workspace\Edu_Learn_Next\package-lock.json", "JSON", 0, 0, 5559, 0, 0, 0, 0, 5559
"e:\Workspace\Edu_Learn_Next\package.json", "JSON", 0, 0, 9, 0, 0, 0, 0, 9
"Total", "-", 259, 732, 5568, 3285, 192, 304, 550, 10890
